geo_id,geo_type,year,var,value,units,delta_percent,order_equalInterval,order_jenks,order_quintile,class_label_equalInterval,class_label_jenks,class_label_quintile,maxValue_equalInterval,maxValue_jenks,maxValue_quintile,minValue_equalInterval,minValue_jenks,minValue_quintile,color_equalInterval,color_jenks,color_quintile,class_delta_percent_quintile_maxValue,class_delta_percent_quintile_minValue,order_delta_percent_quintiles,class_label_delta_percent_quintiles,color_delta_percent_quintiles,var_rank,val_numeric
390430406001,Census Block Group,2015,homeValuemedian,421100,USD,NA,5,5,5,>=347240-421100,>=154700-421100,>=126263.4-421100,421100,421100,421100,347240,154700,126263.40000000001,#4174B0,#4174B0,#4174B0,NA,NA,NA,NA,NA,33,421100
390430406001,Census Block Group,2019,homeValuemedian,287500,USD,-31.72643077653764,5,5,5,>=241440-287500,>=151900-287500,>=123820-287500,287500,287500,287500,241440,151900,123820,#4174B0,#4174B0,#4174B0,-10.689636371566902,-31.72643077653764,1,>=-31.73--10.69,#87CED2,33,287500
390430406001,Census Block Group,2015,income_median,96635,USD,NA,5,5,5,>=80338.4-96635,>=72946-96635,>=45511.6-96635,96635,96635,96635,80338.4,72946,45511.600000000006,#4174B0,#4174B0,#4174B0,NA,NA,NA,NA,NA,33,96635
390430406001,Census Block Group,2019,income_median,88750,USD,-8.159569514151187,5,5,5,>=74494.4-88750,>=66125-88750,>=53161.6-88750,88750,88750,88750,74494.4,66125,53161.600000000006,#4174B0,#4174B0,#4174B0,10.071126554402436,-14.743023785530943,2,>=-14.74-10.07,#69B5CB,33,88750
390430406001,Census Block Group,2015,income_percapita,69839,USD,NA,5,5,5,>=57972-69839,>=58193-69839,>=26017.8-69839,69839,69839,69839,57972,58193,26017.8,#4174B0,#4174B0,#4174B0,NA,NA,NA,NA,NA,33,69839
390430406001,Census Block Group,2019,income_percapita,58150,USD,-16.73706668193989,5,5,5,>=48916-58150,>=39273-58150,>=31271.2-58150,58150,58150,58150,48916,39273,31271.200000000004,#4174B0,#4174B0,#4174B0,-9.38772281031051,-49.24158969578849,1,>=-49.24--9.39,#87CED2,33,58150
390430406001,Census Block Group,2015,percAgeOver64,30.78055964653903,%,NA,4,4,5,>=25-31.43,>=22.95-30.78,>=21.85-37.87,31.434639658365143,30.78055964653903,37.87234042553192,24.99693889119837,22.945484133441823,21.8478715251167,#4683BA,#4683BA,#4174B0,NA,NA,NA,NA,NA,31,30.78055964653903
390430406001,Census Block Group,2019,percAgeOver64,37.03125,%,20.307266746411482,3,4,5,>=27.81-39.81,>=27.36-44.61,>=22.19-63.8,39.80998636673483,44.60694698354662,63.80368098159509,27.813139059304703,27.36318407960199,22.19135802469136,#47A3CB,#4683BA,#4174B0,58.779049287663895,15.108080168353792,4,>=15.11-58.78,#4683BA,31,37.03125
390430406001,Census Block Group,2015,percAgeUnder5,1.6200294550810015,%,NA,1,1,1,>=0-3.39,>=0-1.62,>=0-2.21,3.3855185909980428,1.6200294550810015,2.2110071666940208,0,0,0,#87CED2,#87CED2,#87CED2,NA,NA,NA,NA,NA,6,1.6200294550810015
390430406001,Census Block Group,2019,percAgeUnder5,4.21875,%,160.4119318181818,1,2,2,>=0-4.42,>=1.84-6.12,>=2.19-4.48,4.421768707482993,6.124497991967871,4.483449734010692,0,1.8387553041018387,2.1898406187938706,#87CED2,#69B5CB,#69B5CB,160.4119318181818,20.674457282913263,4,>=20.67-160.41,#4683BA,12,4.21875
390430406001,Census Block Group,2019,percAgeUnder5,4.21875,%,160.4119318181818,1,2,2,>=0-4.42,>=1.84-6.12,>=2.19-4.48,4.421768707482993,6.124497991967871,4.483449734010692,0,1.8387553041018387,2.1898406187938706,#87CED2,#69B5CB,#69B5CB,1085.7671957671957,160.4119318181818,5,>=160.41-1085.77,#4174B0,12,4.21875
390430406001,Census Block Group,2015,percBelow200FPL,7.952871870397649,%,NA,1,1,1,>=7.92-26.33,>=7.92-18.39,>=7.92-29.16,26.334841628959282,18.388934092758337,29.158696576166044,7.918552036199101,7.918552036199101,7.918552036199101,#87CED2,#87CED2,#87CED2,NA,NA,NA,NA,NA,2,7.952871870397649
390430406001,Census Block Group,2019,percBelow200FPL,8.493589743589746,%,6.7990265906932175,1,1,1,>=4.02-17.86,>=4.02-23.34,>=4.02-22.69,17.855635925256177,23.33984375,22.686722840314136,4.01785714285714,4.01785714285714,4.01785714285714,#87CED2,#87CED2,#87CED2,21.172565571367276,2.090281713090275,4,>=2.09-21.17,#4683BA,2,8.493589743589746
